id,idBooking,idSeat,money,createdAt,updatedAt
1,1,G8,70000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
2,2,H7,50000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
3,3,G10,40000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
4,4,G6,50000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
5,5,H6,60000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
6,6,F7,70000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
7,7,H7,65000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
8,8,G7,55000,2021-06-02 13:43:43.158227+07,2021-06-02 13:43:43.158227+07
9,9,A1,70000,2021-06-28 16:40:17.932+07,2021-06-28 16:40:17.932+07
10,9,A2,70000,2021-06-28 16:40:17.938+07,2021-06-28 16:40:17.938+07
11,9,A3,70000,2021-06-28 16:40:17.946+07,2021-06-28 16:40:17.946+07
12,10,A7,70000,2021-07-10 12:11:01.093+07,2021-07-10 12:11:01.093+07
13,10,A8,70000,2021-07-10 12:11:01.103+07,2021-07-10 12:11:01.103+07
14,11,F4,75000,2021-07-10 12:12:12.427+07,2021-07-10 12:12:12.427+07
15,12,F1,75000,2021-07-10 12:26:22.869+07,2021-07-10 12:26:22.869+07
16,13,G6,50000,2021-07-10 12:29:24.312+07,2021-07-10 12:29:24.312+07
17,14,B3,60000,2021-07-10 13:07:04.378+07,2021-07-10 13:07:04.378+07
18,15,E5,60000,2021-07-10 13:23:36.547+07,2021-07-10 13:23:36.547+07
